Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  | Auth. (ms) |
+-----------+--------------+--------------+----------------+--+------------+
|     1     |  0.02336502  |  0.00524521  |   0.02169609   |  | 0.11038780 |
|     2     |  0.02121925  |  0.00977516  |   0.03004074   |  | 0.15592575 |
|     3     |  0.01668930  |  0.00834465  |   0.02717972   |  | 0.14615059 |
|     4     |  0.02002716  |  0.00548363  |   0.02360344   |  | 0.11539459 |
|     5     |  0.02121925  |  0.00905991  |   0.02956390   |  | 0.16164780 |
|     6     |  0.03933907  |  0.00882149  |   0.03790855   |  | 0.22077560 |
|     7     |  0.01788139  |  0.00548363  |   0.02193451   |  | 0.12969971 |
|     8     |  0.02145767  |  0.00929832  |   0.02908707   |  | 0.16713142 |
|     9     |  0.03790855  |  0.00786781  |   0.05078316   |  | 0.22172928 |
|     10    |  0.03862381  |  0.00810623  |   0.03910065   |  | 0.20885468 |
|     11    |  0.04911423  |  0.00929832  |   0.03862381   |  | 0.22721291 |
|     12    |  0.04291534  |  0.00810623  |   0.04577637   |  | 0.22459030 |
|     13    |  0.03314018  |  0.00762939  |   0.03933907   |  | 0.18358231 |
|     14    |  0.01549721  |  0.00953674  |   0.01931190   |  | 0.10848045 |
|     15    |  0.02288818  |  0.00739098  |   0.02884865   |  | 0.15473366 |
|     16    |  0.02145767  |  0.00810623  |   0.03004074   |  | 0.16140938 |
|     17    |  0.03743172  |  0.00762939  |   0.06055832   |  | 0.21982193 |
|     18    |  0.03838539  |  0.00977516  |   0.04220009   |  | 0.21171570 |
|     19    |  0.04839897  |  0.00810623  |   0.03886223   |  | 0.21719933 |
|     20    |  0.03719330  |  0.00548363  |   0.03767014   |  | 0.20456314 |
|     21    |  0.03695488  |  0.00786781  |   0.03695488   |  | 0.21195412 |
|     22    |  0.03743172  |  0.00977516  |   0.03623962   |  | 0.21195412 |
|     23    |  0.04887581  |  0.00739098  |   0.03838539   |  | 0.22935867 |
|     24    |  0.03814697  |  0.00882149  |   0.03838539   |  | 0.20885468 |
|     25    |  0.03194809  |  0.00596046  |   0.03099442   |  | 0.17070770 |
|     26    |  0.03743172  |  0.00762939  |   0.03647804   |  | 0.19741058 |
|     27    |  0.04243851  |  0.00596046  |   0.02813339   |  | 0.16880035 |
|     28    |  0.03242493  |  0.00572205  |   0.04005432   |  | 0.17309189 |
|     29    |  0.03743172  |  0.00786781  |   0.03671646   |  | 0.19693375 |
|     30    |  0.03218651  |  0.00596046  |   0.02908707   |  | 0.17142296 |
|     31    |  0.04553795  |  0.00762939  |   0.03910065   |  | 0.22768974 |
|     32    |  0.03862381  |  0.00834465  |   0.03957748   |  | 0.21028519 |
|     33    |  0.03743172  |  0.00762939  |   0.04696846   |  | 0.20766258 |
|     34    |  0.04315376  |  0.00810623  |   0.03838539   |  | 0.22101402 |
|     35    |  0.03290176  |  0.00572205  |   0.02932549   |  | 0.17356873 |
|     36    |  0.03838539  |  0.00762939  |   0.04625320   |  | 0.19788742 |
|     37    |  0.03767014  |  0.00834465  |   0.04577637   |  | 0.20718575 |
|     38    |  0.03719330  |  0.00786781  |   0.03576279   |  | 0.20694733 |
|     39    |  0.03504753  |  0.00572205  |   0.03099442   |  | 0.17571449 |
|     40    |  0.03933907  |  0.00810623  |   0.03886223   |  | 0.22077560 |
|     41    |  0.03671646  |  0.00715256  |   0.04863739   |  | 0.20980835 |
|     42    |  0.03743172  |  0.00810623  |   0.03290176   |  | 0.20956993 |
|     43    |  0.03623962  |  0.00810623  |   0.03504753   |  | 0.20909309 |
|     44    |  0.03671646  |  0.00786781  |   0.04673004   |  | 0.20837784 |
|     45    |  0.03147125  |  0.00548363  |   0.02980232   |  | 0.16069412 |
|     46    |  0.03743172  |  0.00739098  |   0.03552437   |  | 0.23055077 |
|     47    |  0.03695488  |  0.00715256  |   0.03981590   |  | 0.22959709 |
|     48    |  0.03743172  |  0.00786781  |   0.03671646   |  | 0.21028519 |
|     49    |  0.03242493  |  0.01597404  |   0.02884865   |  | 0.17166138 |
|     50    |  0.03671646  |  0.00762939  |   0.05054474   |  | 0.21457672 |
|     51    |  0.03147125  |  0.00572205  |   0.02813339   |  | 0.17142296 |
|     52    |  0.01955032  |  0.00834465  |   0.03170967   |  | 0.15044212 |
|     53    |  0.03623962  |  0.00762939  |   0.03600121   |  | 0.19717216 |
|     54    |  0.02169609  |  0.00834465  |   0.02956390   |  | 0.16140938 |
|     55    |  0.01835823  |  0.00667572  |   0.03194809   |  | 0.14114380 |
|     56    |  0.03504753  |  0.00739098  |   0.03552437   |  | 0.19717216 |
|     57    |  0.02288818  |  0.00810623  |   0.03075600   |  | 0.17881393 |
|     58    |  0.03886223  |  0.00858307  |   0.04696846   |  | 0.22482872 |
|     59    |  0.01764297  |  0.00882149  |   0.02670288   |  | 0.14114380 |
|     60    |  0.68855286  |  0.00762939  |   0.02050400   |  | 0.82373619 |
|     61    |  0.01502037  |  0.00715256  |   0.02169609   |  | 0.11420250 |
|     62    |  0.01454353  |  0.00572205  |   0.01955032   |  | 0.10633469 |
|     63    |  0.03170967  |  0.01120567  |   0.02956390   |  | 0.18215179 |
|     64    |  0.02121925  |  0.00834465  |   0.03027916   |  | 0.16546249 |
|     65    |  0.02026558  |  0.00762939  |   0.02670288   |  | 0.14925003 |
|     66    |  0.04124641  |  0.00858307  |   0.04816055   |  | 0.22125244 |
|     67    |  0.03743172  |  0.00762939  |   0.03886223   |  | 0.21195412 |
|     68    |  0.02121925  |  0.00858307  |   0.02908707   |  | 0.16403198 |
|     69    |  0.02098083  |  0.00882149  |   0.03409386   |  | 0.17237663 |
|     70    |  0.01502037  |  0.00619888  |   0.01978874   |  | 0.10728836 |
|     71    |  0.02217293  |  0.00762939  |   0.02741814   |  | 0.16379356 |
|     72    |  0.02479553  |  0.00834465  |   0.02980232   |  | 0.16403198 |
|     73    |  0.02002716  |  0.00762939  |   0.02670288   |  | 0.14591217 |
|     74    |  0.02121925  |  0.01001358  |   0.03004074   |  | 0.17046928 |
|     75    |  0.01454353  |  0.00572205  |   0.02431870   |  | 0.11062622 |
|     76    |  0.02098083  |  0.00834465  |   0.02884865   |  | 0.17189980 |
|     77    |  0.02145767  |  0.00882149  |   0.03933907   |  | 0.16856194 |
|     78    |  0.02050400  |  0.00596046  |   0.01978874   |  | 0.12922287 |
|     79    |  0.02932549  |  0.00572205  |   0.02002716   |  | 0.12969971 |
|     80    |  0.02121925  |  0.00858307  |   0.03647804   |  | 0.16570091 |
|     81    |  0.02217293  |  0.00786781  |   0.02908707   |  | 0.15091896 |
|     82    |  0.01478195  |  0.00643730  |   0.02050400   |  | 0.11539459 |
|     83    |  0.01263618  |  0.00548363  |   0.02431870   |  | 0.10371208 |
