

Timing Results, ECC
+-----------+--------------+------------+-------------+--+------------+
| Device ID | Key Gen (ms) | Sign (ms)  | Verify (ms) |  | Auth. (ms) |
+-----------+--------------+------------+-------------+--+------------+
|     1     |  0.02717972  | 0.36954880 |  0.84686279 |  | 2.42614746 |
|     2     |  0.02551079  | 0.38552284 |  0.84519386 |  | 2.44522095 |
|     3     |  0.02479553  | 0.35977364 |  0.84400177 |  | 2.42376328 |
|     4     |  0.02384186  | 0.36358833 |  0.83923340 |  | 2.40945816 |
|     5     |  0.02408028  | 0.36621094 |  0.83804131 |  | 2.40945816 |
|     6     |  0.02360344  | 0.35929680 |  0.84114075 |  | 2.40540504 |
|     7     |  0.02336502  | 0.36430359 |  0.84424019 |  | 2.41613388 |
|     8     |  0.02336502  | 0.38957596 |  0.84042549 |  | 2.44855881 |
|     9     |  0.02408028  | 0.36048889 |  0.84233284 |  | 2.40564346 |
|     10    |  0.02312660  | 0.36263466 |  0.84090233 |  | 2.42042542 |
|     11    |  0.02360344  | 0.35786629 |  0.83446503 |  | 2.39753723 |
|     12    |  0.02264977  | 0.35858154 |  0.83708763 |  | 2.39801407 |
|     13    |  0.02264977  | 0.36311150 |  0.83971024 |  | 2.40397453 |
|     14    |  0.02455711  | 0.36573410 |  0.84066391 |  | 2.40612030 |
|     15    |  0.02288818  | 0.36025047 |  0.84185600 |  | 2.40230560 |
|     16    |  0.02312660  | 0.36096573 |  0.83851814 |  | 2.39658356 |
|     17    |  0.02264977  | 0.35715103 |  0.84066391 |  | 2.39515305 |
|     18    |  0.02312660  | 0.36120415 |  0.83923340 |  | 2.39276886 |
|     19    |  0.02336502  | 0.35548210 |  0.88500977 |  | 2.46071815 |
|     20    |  0.03170967  | 0.36501884 |  0.83994865 |  | 2.40802765 |
|     21    |  0.02336502  | 0.36048889 |  0.84161758 |  | 2.40111351 |
|     22    |  0.02312660  | 0.35619736 |  0.83804131 |  | 2.39849091 |
|     23    |  0.02241135  | 0.35738945 |  0.83899498 |  | 2.39348412 |
|     24    |  0.02288818  | 0.36048889 |  0.84137917 |  | 2.40063667 |
|     25    |  0.02264977  | 0.35834312 |  0.83732605 |  | 2.39610672 |
|     26    |  0.02264977  | 0.36025047 |  0.83994865 |  | 2.40063667 |
|     27    |  0.02241135  | 0.35715103 |  0.83661079 |  | 2.39562988 |
|     28    |  0.02336502  | 0.35595894 |  0.84376335 |  | 2.39896774 |
|     29    |  0.02264977  | 0.36096573 |  0.84185600 |  | 2.40564346 |
|     30    |  0.02264977  | 0.35834312 |  0.83613396 |  | 2.39992142 |
|     31    |  0.02217293  | 0.35929680 |  0.84304810 |  | 2.44665146 |
|     32    |  0.02574921  | 0.36478043 |  0.83827972 |  | 2.39992142 |
|     33    |  0.02312660  | 0.35786629 |  0.83780289 |  | 2.41136551 |
|     34    |  0.02336502  | 0.35738945 |  0.83613396 |  | 2.38871574 |
|     35    |  0.02312660  | 0.35500526 |  0.83899498 |  | 2.39801407 |
