Device 1 (D1) start connection to server
   D1 sends M1 to Server: (1, b'\xf4\x00I\xe8w\x8f\x15+\x99\xde\xac\x06v\x85\x0fN')
Server refuse Device 1, already connected


Timing Results, AES-128 as Encryption/Decryption, SHA-512 with HMAC for secure vault update:
+-----------+--------------+--------------+----------------+--+-------------+
| Device ID | Encrypt (ms) | Decrypt (ms) | SV Update (ms) |  |  Auth. (ms) |
+-----------+--------------+--------------+----------------+--+-------------+
|     1     |  0.01025200  |  0.00834465  |   0.02765656   |  |  0.11205673 |
|     2     |  0.01454353  |  0.01287460  |   0.02765656   |  |  0.13589859 |
|     3     |  0.01549721  |  0.00619888  |   0.02098083   |  |  0.11563301 |
|     4     |  0.02145767  |  0.00810623  |   0.03004074   |  |  0.16188622 |
|     5     |  0.02145767  |  0.00858307  |   0.03933907   |  |  0.16641617 |
|     6     |  0.02145767  |  0.00905991  |   0.02956390   |  |  0.16260147 |
|     7     |  0.02884865  |  0.00882149  |   0.03218651   |  |  0.17356873 |
|     8     |  0.03075600  |  0.01144409  |   0.03910065   |  |  0.24271011 |
|     9     |  0.02622604  |  0.00834465  |   0.03123283   |  |  0.16045570 |
|     10    |  0.02121925  |  0.00858307  |   0.02956390   |  |  0.15473366 |
|     11    |  0.01287460  |  0.00452995  |   0.01764297   |  |  0.09155273 |
|     12    |  0.02145767  |  0.00905991  |   0.03361702   |  |  0.16736984 |
|     13    |  0.02145767  |  0.00810623  |   0.03528595   |  |  0.16069412 |
|     14    |  0.02098083  |  0.00882149  |   0.02956390   |  |  0.16236305 |
|     15    |  0.02813339  |  0.00882149  |   0.06008148   |  |  0.20051003 |
|     16    |  0.01549721  |  0.00572205  |   0.02622604   |  |  0.12540817 |
|     17    |  0.02121925  |  0.00810623  |   0.03123283   |  |  0.15783310 |
|     18    |  0.02121925  |  0.00929832  |   0.03194809   |  |  0.17189980 |
|     19    |  0.02145767  |  0.00786781  |   0.03504753   |  |  0.16069412 |
|     20    |  0.02145767  |  0.00858307  |   0.02980232   |  |  0.15664101 |
|     21    |  0.02145767  |  0.00834465  |   0.03480911   |  |  0.16045570 |
|     22    |  0.02503395  |  0.01192093  |   0.04172325   |  |  0.20575523 |
|     23    |  0.02980232  |  0.00882149  |   0.03004074   |  |  0.17070770 |
|     24    |  0.02169609  |  0.00882149  |   0.03409386   |  |  0.16689301 |
|     25    |  0.02169609  |  0.00882149  |   0.03194809   |  |  0.15974045 |
|     26    |  0.02145767  |  0.00858307  |   0.03194809   |  |  0.16808510 |
|     27    |  0.02121925  |  0.00834465  |   0.03695488   |  |  0.16283989 |
|     28    |  0.01811981  |  0.00548363  |   0.01764297   |  |  0.09846687 |
|     29    |  0.02121925  |  0.00953674  |   0.03552437   |  |  0.16260147 |
